Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status,total unit sold
1,2023-01-01,Syria,homs,hs01,34.7326,36.7136,Lina,Alrrashid,LINA.ALRRASHID@MAIL.COM,5634962795,Tablet,Apple iPad,"  iPad   Pro   12.9"" ",N498,1,999.0,39.96,False,999.0
2,2023-01-01,Saudi Arabia,riyadh,rd01,24.7136,46.6753,Omar,Eurul,OMAR.EURUL@MAIL.COM,5311455624,Smartphone,Samsung Galaxy,Galaxy  S21  Ultra  ,X918,1,1199.0,119.9,True,1199.0
3,2023-01-01,Saudi Arabia,riyadh,rd03,24.7743,46.7386,Iman,Iismaeil,IMAN.IISMAEIL@MAIL.COM,5272740777,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5 ,I036,1,1299.0,0.0,True,1299.0
4,2023-01-01,United Arab Emirates,abu dhabi,ad01,24.4539,54.3773,Ahmad,Rihan,AHMAD.RIHAN@MAIL.COM,5783343440,Tablet,Samsung Galaxy Tab, Galaxy Tab A8 ,E804,2,199.0,27.86,True,398.0
5,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Sami,Altawil,Sami.altawil@mail.com,5352774687,Headphones,Sennheiser HD, Sennheiser   HD   450BT  ,Q149,1,129.0,3.87,True,129.0
6,2023-01-01,Syria,aleppo,al01,36.2021,37.1343,Ahed,Salim,Ahed.salim@mail.com,5277356213,Smartwatch,Garmin Fenix, Garmin   Fenix   6S   ,J431,1,499.0,4.99,True,499.0
7,2023-01-01,Saudi Arabia,riyadh,rd01,24.7136,46.6753,Amira,Alrahil,AMIRA.ALRAHIL@MAIL.COM,5653467109,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,S190,1,3499.0,209.94,True,3499.0
8,2023-01-01,Egypt,cairo,cr02,30.0444,31.2357,Muhamad,Bitahish,MUHAMAD.BITAHISH@MAIL.COM,5705221103,Headphones,Anker Soundcore,Anker   Soundcore   Liberty   Air   2   Pro   ,R389,1,99.0,0.99,False,99.0
9,2023-01-01,Saudi Arabia,aseer,as01,18.2311,42.5004,Fadi,Aljabaan,Fadi.aljabaan@mail.com,5271157029,Laptop,HP Envy,  Envy   x360  ,I974,1,899.0,0.0,True,899.0
10,2023-01-01,USA,washington,wh01,38.9072,-77.0369,Zahir,Almunajid,Zahir.almunajid@mail.com,5151565826,Smart Speaker,Apple HomePod,Apple  HomePod  mini ,R236,9,99.0,71.28,True,891.0
11,2023-01-01,Egypt,cairo,cr03,30.0444,31.2357,Eala,Aljabaan,Eala.aljabaan@mail.com,5725081300,Laptop,Lenovo Legion, Lenovo   Legion   5  ,B541,3,1099.0,0.0,True,3297.0
12,2023-01-01,Egypt,cairo,cr01,30.0444,31.2357,Abd allatif,Alghandur,ABD ALLATIF.ALGHANDUR@MAIL.COM,5647534056,Tablet,Samsung Galaxy Tab,   Galaxy  Tab  S7,U983,1,649.0,64.9,True,649.0
